FID,Departamento,Provincia,Municipio,Asiento_Electoral,Id_Localidad,Tipo_Circunscripcion,Latitud,Longitud,Tipo_Urbano_Rural,Estado,Geometry_X,Geometry_Y
0,Chuquisaca,Oropeza,Sucre,Paredón,4638.0,Uninominal,-18.93243,-65.156382,Rural,Habilitado TSE,-65.156382,-18.93243
1,Chuquisaca,Oropeza,Sucre,Sucre,2794.0,Uninominal,-19.047934,-65.259652,Urbano,Habilitado TSE,-65.259652,-19.047934
2,Chuquisaca,Oropeza,Sucre,Arabate,1204.0,Uninominal,-19.07256,-65.15241,Rural,Habilitado TSE,-65.15241,-19.07256
3,Chuquisaca,Oropeza,Sucre,Ckochis,2875.0,Uninominal,-19.1318,-65.20616,Rural,Habilitado TSE,-65.20616,-19.1318
4,Chuquisaca,Oropeza,Sucre,Chaunaca,1205.0,Uninominal,-18.99047,-65.43951,Rural,Habilitado TSE,-65.43951,-18.99047
5,Chuquisaca,Oropeza,Sucre,Chuqui Chuqui,1206.0,Uninominal,-18.82506,-65.1201,Rural,Habilitado TSE,-65.1201,-18.82506
6,Chuquisaca,Oropeza,Sucre,Surima,1207.0,Uninominal,-18.77743,-65.12765,Rural,Habilitado TSE,-65.12765,-18.77743
7,Chuquisaca,Oropeza,Sucre,Imilla Huañusca,1208.0,Uninominal,-18.63784,-65.1773,Rural,Habilitado TSE,-65.1773,-18.63784
8,Chuquisaca,Oropeza,Sucre,Cantu Molino,2952.0,Uninominal,-18.859751,-65.233155,Rural,Habilitado TSE,-65.233155,-18.859751
9,Chuquisaca,Oropeza,Sucre,Punilla,1218.0,Uninominal,-18.95657,-65.37293,Rural,Habilitado TSE,-65.37293,-18.95657
10,Chuquisaca,Oropeza,Sucre,Mojotoro,1219.0,Uninominal,-18.95262,-65.12672,Rural,Habilitado TSE,-65.12672,-18.95262
11,Chuquisaca,Oropeza,Sucre,Ckacha Ckacha,1220.0,Uninominal,-18.893438,-65.178676,Rural,Habilitado TSE,-65.178676,-18.893438
